title,rating,reviews,check
Reboot: The Guardian Code,3.8,1.2K,Na
Transformers: Rescue Bots,6.5,913,Na
Next Gen,6.6,17K,Next Gen
One Last Shot,6.5,519,One Last Shot
Luna Petunia: Return to Amazia,4.8,48,Na
Hotel Transylvania,7.0,248K,Hotel Transylvania
Brain on Fire,6.6,21K,Brain on Fire
Inspector Gadget,4.1,48K,Inspector Gadget
Pup Star: World Tour,3.9,206,Pup Star: World Tour
Anon,6.1,43K,Anon
Kong: King of the Apes,5.8,325,Kong: King of the Apes
My Perfect Romance,Na,Na,Na
Kodachrome,6.8,16K,Kodachrome
Beyond Skyline,5.3,22K,Beyond Skyline
Trailer Park Boys,8.6,42K,Trailer Park Boys
Trailer Park Boys: Countdown to Liquor Day,7.3,7.4K,Na
Trailer Park Boys: The Movie,7.1,13K,Na
Ravenous,6.9,39K,Ravenous
21 Thunder,6.1,1K,21 Thunder
Swearnet Live,5.3,526,Swearnet Live
Trailer Park Boys Live at the North Pole,8.6,42K,Trailer Park Boys
"""Trailer Park Boys Live In F**kin' Dublin""",8.6,42K,Trailer Park Boys
Trailer Park Boys: Say Goodnight to the Bad Guys,7.9,3.6K,Na
Trailer Park Boys: Xmas Special,8.1,3.4K,Na
The Ritual,6.3,94K,The Ritual
The Open House,3.2,34K,The Open House
Goon: Last of the Enforcers,5.8,14K,Na
48 Christmas Wishes,3.9,1.1K,48 Christmas Wishes
The Indian Detective,6.5,3.1K,The Indian Detective
Beat Bugs: All Together Now,7.0,25,All Together Now
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",5.3,66,Jim
Bon Cop Bad Cop 2,6.6,4.1K,Bon Cop Bad Cop 2
Alias Grace,7.7,32K,Alias Grace
Pup Star: Better 2Gether,4.3,237,Na
The Mist,7.1,299K,The Mist
Equestria Girls: Tales of Canterlot High,7.9,15,Na
Ghost Patrol,5.1,223,Ghost Patrol
Dark Matter,7.5,42K,Dark Matter
Swearnet: The Movie,6.0,2.7K,Swearnet: The Movie
Barbie Dolphin Magic,5.5,743,Barbie: Dolphin Magic
Enter the Warriors Gate,5.4,5K,Na
Degrassi: Next Class,6.8,3.2K,Degrassi: Next Class
Barbie Life in the Dreamhouse,7.4,1.8K,Na
Criminal Minds,8.1,188K,Criminal Minds
Pac-Man and the Ghostly Adventures,4.6,644,Na
Shimmer Lake,6.3,14K,Shimmer Lake
Michael Lost and Found,5.2,380,Michael Lost and Found
Sahara,6.0,97K,Sahara
Kiss & Cry,4.8,92K,Knock Knock
Mostly Sunny,5.4,749,Mostly Sunny
Fangbone,6.2,314,Fangbone!
